GazePointX	GazePointY	RecordingTimestamp	Duration
853.0455	361.81818	53	73
854.0	363.3846	133	86
858.0476	359.07144	223	279
728.0769	129.35898	556	130
570.7959	81.734695	713	163
657.09753	77.85366	889	273
693.0	85.78378	1169	123
669.2685	84.87963	1296	360
719.45	85.95	1693	66
720.2917	84.97222	1769	240
799.2857	94.35714	2106	46
797.0	89.13333	2169	50
799.94446	89.52778	2249	120
901.72	71.54	2502	167
900.2857	71.46429	2672	93
897.7442	72.93023	2769	143
942.2879	74.63636	2932	440
975.5	75.1875	3379	53
976.13635	80.40909	3469	73
976.375	82.875	3652	53
977.03845	80.11539	4006	86
548.9643	101.92857	4206	93
567.0	118.77778	4465	60
565.1429	112.78571	4625	47
575.375	116.875	4709	53
573.5714	115.14286	4909	69
666.5	115.75	5249	53
667.4643	114.0	5382	93
800.2308	120.23077	6559	43
853.7	118.0	6675	67
852.1039	118.77922	6745	256
899.3241	118.39815	7009	359
936.4127	122.666664	7372	209
984.49054	123.20755	7668	177
1045.25	134.3125	8342	53
1044.579	132.05263	8505	63
1077.8	132.05714	8658	117
1079.0	136.0	8882	43
1107.6	129.96	8928	83
