GazePointX	GazePointY	RecordingTimestamp	Duration
844.2647	395.52942	189	110
854.09753	135.7317	1339	133
881.93445	136.29507	1505	200
959.86707	142.98734	1958	524
966.8596	173.91228	2595	187
968.0	172.0	2788	187
818.4524	184.33333	2902	136
741.8315	215.41573	3058	294
774.0147	219.14706	3358	224
838.7742	217.70967	3932	203
909.72095	222.44186	4235	140
910.09	224.74	4411	330
951.2222	223.7619	4751	207
749.23914	217.15218	5005	150
739.5789	217.57895	5215	123
680.2778	231.44444	5421	117
736.40625	235.125	6071	104
798.5294	243.29411	6768	110
844.0	248.37837	7538	120
882.8182	248.56818	7734	144
882.24194	249.2742	7884	204
929.8795	248.45782	8104	274
961.12823	248.64102	8441	127
986.7143	248.7551	8641	160
1027.3158	248.57895	8858	123
1024.0	243.0	8988	123
1027.7812	249.92188	9084	210
1027.6531	252.59184	9301	160
1079.2727	254.57576	9567	107
1102.579	252.97368	10047	124
1147.6364	250.31818	10541	143
1146.2087	250.73627	10711	300
1174.6097	251.31708	11127	134
1193.4572	252.88571	11367	114
1221.5067	250.57333	11641	246
1192.6897	251.98276	12184	190
1224.0	258.0	12384	190
1230.5106	253.17021	12400	154
1232.0	252.81035	12594	190
665.8795	245.28915	13114	273
716.2385	252.88074	13664	360
754.8333	254.51515	14287	217
834.131	267.40475	15033	277
835.4651	269.83722	15317	140
973.31	268.7	16240	330
1016.5507	269.14493	16697	226
1055.6562	263.71875	17177	103
1120.7273	266.72726	17626	217
1137.0	270.0	17850	217
1144.0571	269.82858	17856	114
1166.1555	264.77777	18263	147
1221.2759	265.82758	18433	190
1245.7273	266.27274	18856	107
684.339	263.55933	19036	194
772.9211	270.89474	19580	250
809.98	278.56	19846	164
799.7627	277.47458	20153	193
810.0	276.0	20353	193
838.75806	277.53226	20363	203
838.82855	278.1143	20689	114
874.9146	276.2073	20893	270
901.9821	278.19644	21213	183
944.175	276.25	21523	130
944.45905	278.68854	21659	200
937.6585	276.40244	21866	270
897.96875	281.59375	22143	103
985.35297	279.85294	22356	110
988.26086	285.13043	22626	150
1033.4242	283.87878	22859	107
1106.3582	280.02985	23466	220
1084.3125	281.28125	23712	104
1083.0	281.71875	23826	103
1169.6097	279.58536	24086	133
1225.9584	281.16666	24439	157
1224.3418	277.11392	24676	260
1250.5853	279.02438	25106	133
694.3579	283.9579	25306	313
754.2237	285.96054	25652	250
776.0	290.0	25909	250
700.5	296.77777	26379	116
725.6308	301.6154	26659	213
754.3333	301.84445	26895	147
823.69385	311.32654	27399	160
882.3333	309.8	27915	147
901.7843	310.2353	28115	167
950.175	312.575	28442	130
950.625	312.8393	28578	184
709.6829	317.95123	28828	134
711.8293	319.80487	29038	134
726.1667	319.6389	29525	117
727.12195	320.41464	29648	134
763.9804	318.47058	29878	167
790.2157	321.451	30265	167
808.0	317.0	30438	167
888.6292	331.89886	30915	293
941.5	325.0263	31375	123
981.3714	325.45715	31711	114
1197.7091	325.6091	32025	363
1253.8431	324.86273	33005	166
705.84	329.9	33684	164
721.8958	329.97916	34144	157
730.5227	331.95456	34308	143
753.0	336.0	34461	143
783.1494	331.35632	34661	287
818.0	334.0	34968	287
819.8765	341.39505	35001	267
951.62714	341.15256	35624	194
986.0577	340.42307	36028	170
986.0	349.0	36204	170
1031.5875	337.6625	36324	264
1068.9048	339.1905	36634	137
1070.0	336.0	36778	137
717.3023	351.90698	37114	284
732.73566	356.4023	37718	286
765.13794	357.84482	38111	190
840.5833	364.66666	38667	117
890.05554	367.1	38974	297
891.0789	364.60526	39277	124
949.8919	362.48648	39651	120
944.63934	364.90164	39777	200
950.0	480.0	40044	200
960.1177	364.20587	40104	110
983.63934	361.5082	40221	200
1119.0377	362.03775	41120	174
1160.2258	362.1613	41410	204
775.39215	359.07843	42157	167
720.41174	366.64706	42344	110
756.7368	369.44736	42644	123
782.25	369.22726	42837	143
859.4878	379.36584	43297	133
894.46875	377.46875	43713	104
894.8095	378.7857	43877	136
877.0	380.0	44020	136
855.7246	375.9565	44030	227
921.7805	371.19513	44393	134
1008.9762	373.35715	44993	137
1060.2307	375.69232	45263	127
1057.8966	376.39655	45430	190
1137.1714	371.94287	45993	114
1235.9434	373.09433	46650	173
726.1	381.62	47150	163
967.3939	385.42426	47556	107
950.9706	385.41177	47810	110
1212.9762	388.5238	48576	137
821.7857	403.61905	49256	137
789.8	389.53333	49439	197
859.15625	400.5	49873	103
1026.9348	396.0435	50483	150
1096.3	402.0	50783	163
673.8823	409.14706	51586	110
933.5135	407.35135	52116	120
886.6486	471.86487	53906	120
888.21875	470.5625	54032	104
998.7083	451.0625	54649	156
702.0	462.0	54849	156
698.1177	458.79413	55249	110
816.69446	553.8889	58958	117
157
