RecordingTimestamp	GazePointIndex	GazePointX	GazePointY	DistanceLeft	DistanceRight	
5	1	848	403	535.87	535.87	
9	2	842	406	535.85	535.85	
12	3	844	400	535.81	535.81	
15	4	844	398	535.79	535.79	
19	5	847	398	535.78	535.78	
22	6	852	404	535.86	535.86	
25	7	847	399	535.84	535.84	
29	8	847	402	535.85	535.85	
32	9	847	403	535.85	535.85	
35	10	843	396	535.83	535.83	
39	11	850	399	535.85	535.85	
42	12	848	393	535.86	535.86	
45	13	842	404	535.84	535.84	
49	14	845	400	535.86	535.86	
52	15	844	395	535.87	535.87	
55	16	845	400	535.87	535.87	
59	17	847	397	535.87	535.87	
62	18	847	400	535.84	535.84	
65	19	846	402	535.93	535.93	
69	20	846	404	535.92	535.92	
72	21	848	402	535.92	535.92	
75	22	845	403	535.91	535.91	
79	23	849	400	535.83	535.83	
82	24	842	399	535.83	535.83	
85	25	843	399	535.81	535.81	
89	26	843	401	535.82	535.82	
92	27	845	401	535.84	535.84	
95	28	845	405	535.85	535.85	
99	29	847	405	535.85	535.85	
102	30	845	401	535.84	535.84	
105	31	844	402	535.79	535.79	
109	32	847	402	535.80	535.80	
112	33	844	408	535.81	535.81	
115	34	844	401	535.79	535.79	
119	35	844	402	535.80	535.80	
122	36	845	400	535.80	535.80	
125	37	844	403	535.81	535.81	
129	38	844	402	535.80	535.80	
132	39	850	400	535.75	535.75	
135	40	846	401	535.81	535.81	
139	41	844	401	535.74	535.74	
142	42	841	404	535.77	535.77	
145	43	846	399	535.74	535.74	
149	44	842	399	535.75	535.75	
152	45	845	398	535.74	535.74	
155	46	840	397	535.84	535.84	
159	47	843	399	535.77	535.77	
162	48	839	400	535.79	535.79	
165	49	845	397	535.84	535.84	
169	50	842	396	535.78	535.78	
172	51	845	396	535.85	535.85	
175	52	842	398	535.85	535.85	
179	53	842	392	535.85	535.85	
182	54	850	395	535.87	535.87	
185	55	844	399	535.80	535.80	
189	56	846	394	535.91	535.91	
192	57	845	397	535.92	535.92	
195	58	845	394	535.92	535.92	
199	59	841	396	535.94	535.94	
202	60	845	394	535.92	535.92	
205	61	845	397	535.95	535.95	
209	62	837	394	535.95	535.95	
212	63	842	397	535.96	535.96	
215	64	841	396	535.87	535.87	
219	65	843	393	535.87	535.87	
222	66	841	399	535.88	535.88	
