GazePointX	GazePointY	RecordingTimestamp	Duration
604.6667	463.66666	0	58
604.5	457.5	95	63
603.6	456.8	195	82
675.2222	489.0	314	163
617.7222	512.1111	514	341
611.61536	511.0	892	243
431.66666	735.6667	1331	43
595.0	798.0	1470	63
628.375	463.125	1630	142
620.087	489.69565	1809	442
507.2857	518.8571	2288	262
565.6	368.8	2587	82
569.5	363.75	2706	63
570.7143	366.0	2806	122
644.3333	447.66666	2965	43
498.7	284.4	3125	182
577.6667	474.0	3424	43
669.5	513.8333	3563	103
666.5833	520.8333	3703	222
19
