StartTimeStamp	SumDuration	SumX	SumY	
16	2073	423	253	
2089	2082	404	226	
4171	1508	520	252	
5687	483	273	294	
6170	2015	475	306	
8185	2057	488	339	
10242	2349	421	392	
12591	525	605	416	
13124	1549	443	459	
14673	175	686	460	
14881	1091	336	503	
15997	375	493	494	
16613	1158	408	565	
21177	183	536	649	
21493	375	544	494	
21951	233	502	352	
22276	1291	533	160	
23567	1999	549	155	
25566	2073	499	489	
27639	1533	88	546	
29272	499	128	45	
29771	525	64	33	
30362	1367	1003	91	
31737	266	893	548	
32053	150	399	525	
32203	2041	568	511	
34244	2056	373	290	
36300	2091	433	293	
38391	1141	552	302	
39548	933	312	318	
40481	2024	251	369	
42505	1765	242	524	
44304	274	292	351	
44578	2049	280	351	
46627	2024	399	272	
48651	2157	402	317	
50808	1998	241	569	
52806	259	269	732	
53081	1716	331	284	
54847	1998	454	275	
56845	2016	367	291	
58861	2115	392	333	
60976	1999	233	529	
62975	292	233	697	
63275	899	251	235	
64224	816	357	384	
65040	1999	434	260	
67039	1999	432	281	
69038	2049	467	396	
71087	2015	472	302	
73102	2024	593	343	
75126	2048	233	543	
77174	500	235	692	
77699	1516	359	279	
79215	2024	462	271	
81239	974	365	289	
82221	383	321	355	
82888	333	851	362	
83237	325	425	305	
83562	408	967	324	
84070	1049	510	292	
85144	417	459	271	
85952	1216	352	296	
87618	133	324	301	
87801	1050	502	297	
88959	2015	269	321	
90974	1691	248	558	
93414	458	273	415	
93947	600	295	322	
94597	199	313	614	
94830	483	272	322	
95363	883	261	697	
96262	633	744	735	
96945	150	595	403	
97212	1049	281	375	
98294	250	247	651	
98594	1849	422	269	
100476	567	282	293	
101059	1516	238	366	
102625	133	231	672	
102758	1349	279	717	
104157	866	334	352	
105073	400	479	384	
105506	284	723	539	
105973	483	479	406	
106614	2065	346	333	
108679	2041	379	360	
110870	2015	378	353	
113010	1999	381	327	
115009	2023	357	281	
117032	167	612	266	
117224	1849	267	329	
119073	2098	260	587	
121171	2032	233	556	
123203	2024	252	459	
125227	2015	234	629	
127242	1999	405	397	
129241	841	592	299	
130090	1216	457	271	
131306	850	843	283	
132172	483	455	288	
132672	292	878	74	
132997	466	405	270	
133463	2107	236	626	
135570	2049	262	381	
137619	691	234	550	
138318	1391	246	502	
139709	2049	233	529	
141758	1999	466	379	
143857	1282	499	407	
145172	184	534	476	
143873	1266	500	407	
145172	184	534	476	
