StartTimeStamp	SumDuration	XsacBeginning	XsacEnd	YsacBeginning	YsacEnd	
5679	8	585	585	254	254	
13116	8	538	538	410	410	
14848	33	589	496	465	471	
15972	25	384	384	494	494	
16480	25	537	537	491	491	
21477	16	563	553	760	656	
21868	83	537	537	495	495	
22184	92	483	483	354	354	
29172	100	48	96	583	361	
30296	66	98	98	27	27	
31729	8	1081	1081	181	181	
31745	9	999	999	334	334	
32020	33	857	857	571	571	
39532	16	609	609	304	304	
44270	34	268	268	697	697	
53065	16	273	273	718	718	
53098	33	349	349	509	509	
63267	8	237	237	594	594	
63283	17	242	242	406	406	
64199	25	261	261	296	296	
77674	25	252	308	697	513	
82213	8	831	831	136	136	
82471	25	808	808	219	219	
82879	9	348	348	356	356	
83221	16	837	740	370	354	
83595	34	469	469	274	274	
84037	33	882	527	335	367	
85119	25	776	776	211	211	
85561	25	626	789	218	121	
85960	34	419	419	218	218	
87210	99	600	234	229	285	
87751	50	329	329	288	288	
92665	58	284	793	698	188	
93439	8	248	248	350	350	
93456	33	160	160	419	419	
94547	50	318	317	313	538	
94796	34	313	313	536	536	
95313	50	250	217	343	569	
96246	16	283	283	701	701	
96279	17	485	485	710	710	
96929	16	740	740	739	739	
96962	50	619	619	595	595	
97162	50	599	599	379	379	
98261	33	240	220	399	490	
98544	50	265	264	679	438	
100443	33	571	398	286	289	
101043	16	317	317	298	298	
102575	50	239	239	333	333	
104107	50	317	317	638	638	
105023	50	332	332	356	356	
105473	33	479	570	391	447	
105790	33	831	971	544	547	
105981	8	1305	1305	667	667	
105998	25	1427	1427	626	626	
106048	33	1254	936	612	487	
106098	33	722	722	412	412	
117199	25	634	634	229	229	
130082	8	635	635	173	173	
132156	16	870	775	276	278	
132655	17	583	656	250	192	
132964	33	785	785	94	94	
138310	8	240	240	579	579	
141849	9	284	284	617	617	
145139	33	457	457	448	448	
145356	-1483	531	531	464	464	
145139	33	457	457	448	448	
